bhk_name,bhk_url,bhk_price,bhk_area,bhk_location,bhk_location_url
1,https://www.makaan.com/mumbai/shilpriya-builders-and-developers-silicon-enclave-in-chembur-19838196/1bhk-2t-900-sqft-apartment,1.2 Cr,900,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
2,https://www.makaan.com/mumbai/builder-project-in-chembur-19838195/2bhk-2t-1050-sqft-apartment,1.4 Cr,1050,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
1,https://www.makaan.com/mumbai/builder-project-in-chembur-19838194/1bhk-1t-900-sqft-apartment,1.05 Cr,900,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
1,https://www.makaan.com/mumbai/builder-project-in-chembur-19838193/1bhk-1t-850-sqft-apartment,1.2 Cr,850,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
2,https://www.makaan.com/mumbai/builder-project-in-chembur-19838192/2bhk-2t-950-sqft-apartment,1.4 Cr,950,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
3,https://www.makaan.com/mumbai/builder-project-in-chembur-19838191/3bhk-3t-1450-sqft-apartment,2.2 Cr,1450,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
3,https://www.makaan.com/mumbai/builder-project-in-chembur-19838188/3bhk-2t-1250-sqft-apartment,1.63 Cr,1250,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
2,https://www.makaan.com/mumbai/godrej-properties-central-in-chembur-19838185/2bhk-2t-1150-sqft-apartment,2 Cr,1150,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
2,https://www.makaan.com/mumbai/godrej-properties-central-in-chembur-19838184/2bhk-2t-1150-sqft-apartment,1.95 Cr,1150,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
2,https://www.makaan.com/mumbai/reliance-corporation-tilak-indrayani-chsl-in-chembur-19838181/2bhk-2t-1100-sqft-apartment,1.6 Cr,1100,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
2,https://www.makaan.com/mumbai/shreenathji-group-39-anthea-in-chembur-19838180/2bhk-2t-1050-sqft-apartment,1.75 Cr,1050,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
3,https://www.makaan.com/mumbai/godrej-properties-central-in-chembur-19838173/3bhk-2t-1250-sqft-apartment,2.4 Cr,1250,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
2,https://www.makaan.com/mumbai/builder-project-in-dahisar-east-19839368/2bhk-2t-627-sqft-apartment,1.28 Cr,627,Dahisar East,https://www.makaan.com/mumbai-property/dahisar-east-flats-for-sale-57191
2,https://www.makaan.com/mumbai/westin-developers-eksar-gurukripa-chs-ltd-in-borivali-west-19839353/2bhk-2t-611-sqft-apartment,1.77 Cr,611,Borivali West,https://www.makaan.com/mumbai-property/borivali-west-flats-for-sale-50024
2,https://www.makaan.com/mumbai/krishna-darshan-developers-mumbai-pratima-in-borivali-west-19839349/2bhk-2t-558-sqft-apartment,1.6 Cr,558,Borivali West,https://www.makaan.com/mumbai-property/borivali-west-flats-for-sale-50024
3,https://www.makaan.com/mumbai/rodium-realty-x-line-shraddha-apartment-in-kandivali-west-19839347/3bhk-3t-831-sqft-apartment,2.32 Cr,831,Kandivali West,https://www.makaan.com/mumbai-property/kandivali-west-flats-for-sale-52179
2,https://www.makaan.com/mumbai/builder-project-in-dahisar-east-19839343/2bhk-2t-625-sqft-apartment,1.18 Cr,625,Dahisar East,https://www.makaan.com/mumbai-property/dahisar-east-flats-for-sale-57191
2,https://www.makaan.com/mumbai/aadhunik-developers-aura-in-borivali-west-19839338/2bhk-2t-636-sqft-apartment,1.75 Cr,636,Borivali West,https://www.makaan.com/mumbai-property/borivali-west-flats-for-sale-50024
3,https://www.makaan.com/mumbai/shubhabhumi-developers-llp-patkeshwar-apartment-chs-ltd-in-borivali-west-19839331/3bhk-2t-775-sqft-apartment,2.35 Cr,775,Borivali West,https://www.makaan.com/mumbai-property/borivali-west-flats-for-sale-50024
2,https://www.makaan.com/mumbai/builder-project-in-andheri-east-19850520/2bhk-2t-900-sqft-apartment,1.4 Cr,900,Andheri East,https://www.makaan.com/mumbai-property/andheri-east-flats-for-sale-50022
1,https://www.makaan.com/mumbai/raj-realty-akshay-in-mira-road-east-19845063/1bhk-2t-675-sqft-apartment,59.45 L,675,Mira Road East,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735
2,https://www.makaan.com/mumbai/jp-infra-north-barcelona-wing-d-in-mira-road-east-19845059/2bhk-2t-1060-sqft-apartment,92.42 L,1060,Mira Road East,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735
1,https://www.makaan.com/mumbai/shree-ramdev-ritu-developers-heights-in-mira-road-east-19845057/1bhk-2t-675-sqft-apartment,57.37 L,675,Mira Road East,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735
1,https://www.makaan.com/mumbai/rna-ng-builders-ng-diamond-hill-b-phase-i-in-bhayandar-east-19845055/1bhk-2t-700-sqft-apartment,56.45 L,700,Bhayandar East,https://www.makaan.com/mumbai-property/bhayandar-east-flats-for-sale-51209
1,https://www.makaan.com/mumbai/rna-ng-builders-ocean-pearl-in-mira-road-east-19845051/1bhk-2t-725-sqft-apartment,54.13 L,725,Mira Road East,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735
1,https://www.makaan.com/mumbai/sanghvi-group-s3-skyrise-in-mira-road-east-19845045/1bhk-2t-725-sqft-apartment,59.2 L,725,Mira Road East,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735
1,https://www.makaan.com/mumbai/builder-project-in-kharghar-19854965/1bhk-2t-730-sqft-apartment,65 L,730,Kharghar,https://www.makaan.com/mumbai-property/kharghar-flats-for-sale-50003
2,https://www.makaan.com/mumbai/shagun-white-woods-in-ulwe-19846759/2bhk-2t-1350-sqft-apartment,1.14 Cr,1350,Ulwe,https://www.makaan.com/mumbai-property/ulwe-flats-for-sale-50412
2,https://www.makaan.com/mumbai/mhada-ekdant-chs-in-goregaon-east-19846181/2bhk-2t-860-sqft-apartment,1.4 Cr,860,Goregaon East,https://www.makaan.com/mumbai-property/goregaon-east-flats-for-sale-51725
3,https://www.makaan.com/mumbai/oberoi-realty-esquire-in-goregaon-east-19845234/3bhk-3t-1690-sqft-apartment,5.65 Cr,1690,Goregaon East,https://www.makaan.com/mumbai-property/goregaon-east-flats-for-sale-51725
