,BHK,Area,Price,Location
403,2 ,1130 ,76.27 L,"Koyambedu,Chennai"
404,3 ,1387 ,93.62 L,"Koyambedu,Chennai"
405,2 ,1127 ,76.07 L,"Koyambedu,Chennai"
406,3 ,1467 ,99.02 L,"Koyambedu,Chennai"
407,2 ,1131 ,76.34 L,"Koyambedu,Chennai"
408,2 ,992 ,63 L,"Mogappair,Chennai"
409,2 ,1039 ,70 L,"Mogappair,Chennai"
410,3 ,1334 ,89.51 L,"Mogappair,Chennai"
411,2 ,801 ,32.03 L,"Perumbakkam,Chennai"
412,2 ,840 ,33.59 L,"Perumbakkam,Chennai"
413,2 ,796 ,31.83 L,"Perumbakkam,Chennai"
414,2 ,950 ,47.4 L,"Madambakkam,Chennai"
415,2 ,925 ,46.15 L,"Madambakkam,Chennai"
416,2 ,1050 ,56.7 L,"Pozhichalur,Chennai"
417,2 ,812 ,43.84 L,"Pozhichalur,Chennai"
418,2 ,800 ,43.2 L,"Pozhichalur,Chennai"
419,3 ,1300 ,70.2 L,"Pozhichalur,Chennai"
420,2 ,770 ,40.04 L,"Pozhichalur,Chennai"
421,2 ,790 ,41.08 L,"Pozhichalur,Chennai"
422,3 ,1060 ,55.12 L,"Pozhichalur,Chennai"
423,2 ,965 ,50.18 L,"Pozhichalur,Chennai"
424,2 ,1176 ,60.15 L,"Padur,Chennai"
425,3 ,1175 ,70.3 L,"Pammal,Chennai"
426,3 ,1755 ,89.76 L,"Padur,Chennai"
427,2 ,1176 ,60.15 L,"Padur,Chennai"
428,3 ,1494 ,76.41 L,"Padur,Chennai"
429,3 ,1755 ,89.76 L,"Padur,Chennai"
430,3 ,1508 ,90.22 L,"Pammal,Chennai"
431,3 ,1494 ,76.41 L,"Padur,Chennai"
432,2 ,957 ,57.25 L,"Pammal,Chennai"
433,2 ,1497 ,76.57 L,"Padur,Chennai"
